chennai_junction_id,festival_id,festival_name,festival_day,hour,historical_festival_index,evening_peak_pattern,junction_baseline,prev_festival_behaviour,predicted_level,group_key
1,pongal,Pongal,1,0,0.25,0.0,0.38999999999999996,0.21750752865586687,MODERATE,pongal_d1_1
1,pongal,Pongal,1,1,0.25,0.0,0.38999999999999996,0.3562475167041759,MODERATE,pongal_d1_1
1,pongal,Pongal,1,2,0.25,0.0,0.38999999999999996,0.6736896411960379,MODERATE,pongal_d1_1
1,pongal,Pongal,1,3,0.25,0.0,0.38999999999999996,0.26085718284059134,MODERATE,pongal_d1_1
1,pongal,Pongal,1,4,0.25,0.0,0.38999999999999996,0.22085805360664926,MODERATE,pongal_d1_1
1,pongal,Pongal,1,5,0.25,0.0,0.38999999999999996,0.5537487016723537,MODERATE,pongal_d1_1
1,pongal,Pongal,1,6,0.25,0.0,0.38999999999999996,0.33918635548065396,MODERATE,pongal_d1_1
1,pongal,Pongal,1,7,0.25,0.0,0.38999999999999996,0.5814590364222516,MODERATE,pongal_d1_1
1,pongal,Pongal,1,8,0.25,0.0,0.38999999999999996,0.612485978713136,MODERATE,pongal_d1_1
1,pongal,Pongal,1,9,0.25,0.0,0.38999999999999996,0.20454913177464273,MODERATE,pongal_d1_1
1,pongal,Pongal,1,10,0.25,0.0,0.38999999999999996,0.6886975764917588,MODERATE,pongal_d1_1
1,pongal,Pongal,1,11,0.25,0.0,0.38999999999999996,0.3088356498682471,MODERATE,pongal_d1_1
1,pongal,Pongal,1,12,0.25,0.0,0.38999999999999996,0.43561618157883875,MODERATE,pongal_d1_1
1,pongal,Pongal,1,13,0.25,0.0,0.38999999999999996,0.2677014637834248,MODERATE,pongal_d1_1
1,pongal,Pongal,1,14,0.25,0.0,0.38999999999999996,0.6226082219568237,MODERATE,pongal_d1_1
1,pongal,Pongal,1,15,0.25,0.0,0.38999999999999996,0.7108122506856724,MODERATE,pongal_d1_1
1,pongal,Pongal,1,16,0.25,0.0,0.38999999999999996,0.8811810347855593,MODERATE,pongal_d1_1
1,pongal,Pongal,1,17,0.25,0.0,0.38999999999999996,0.5864284418912589,MODERATE,pongal_d1_1
1,pongal,Pongal,1,18,0.25,1.0,0.38999999999999996,0.6329638266549722,HIGH,pongal_d1_1
1,pongal,Pongal,1,19,0.25,1.0,0.38999999999999996,0.6041465016797334,HIGH,pongal_d1_1
1,pongal,Pongal,1,20,0.25,1.0,0.38999999999999996,0.23207706855896357,HIGH,pongal_d1_1
1,pongal,Pongal,1,21,0.25,1.0,0.38999999999999996,0.402571574521475,HIGH,pongal_d1_1
1,pongal,Pongal,1,22,0.25,0.0,0.38999999999999996,0.3629536204527211,MODERATE,pongal_d1_1
1,pongal,Pongal,1,23,0.25,0.0,0.38999999999999996,0.3945815221770645,MODERATE,pongal_d1_1
2,pongal,Pongal,1,0,0.25,0.0,0.43,0.455382525279059,MODERATE,pongal_d1_2
2,pongal,Pongal,1,1,0.25,0.0,0.43,0.3466549215400414,MODERATE,pongal_d1_2
2,pongal,Pongal,1,2,0.25,0.0,0.43,0.8556582113987459,MODERATE,pongal_d1_2
2,pongal,Pongal,1,3,0.25,0.0,0.43,0.6263917039668917,MODERATE,pongal_d1_2
2,pongal,Pongal,1,4,0.25,0.0,0.43,0.7103887585652444,MODERATE,pongal_d1_2
2,pongal,Pongal,1,5,0.25,0.0,0.43,0.4656188092303534,MODERATE,pongal_d1_2
2,pongal,Pongal,1,6,0.25,0.0,0.43,0.647999831897865,MODERATE,pongal_d1_2
2,pongal,Pongal,1,7,0.25,0.0,0.43,0.6792299756929122,MODERATE,pongal_d1_2
2,pongal,Pongal,1,8,0.25,0.0,0.43,0.7431999380823713,MODERATE,pongal_d1_2
2,pongal,Pongal,1,9,0.25,0.0,0.43,0.22247017073282643,MODERATE,pongal_d1_2
2,pongal,Pongal,1,10,0.25,0.0,0.43,0.3874186131829919,MODERATE,pongal_d1_2
2,pongal,Pongal,1,11,0.25,0.0,0.43,0.860036800034538,MODERATE,pongal_d1_2
2,pongal,Pongal,1,12,0.25,0.0,0.43,0.42027451655893455,MODERATE,pongal_d1_2
2,pongal,Pongal,1,13,0.25,0.0,0.43,0.47694233074246495,MODERATE,pongal_d1_2
2,pongal,Pongal,1,14,0.25,0.0,0.43,0.5211962968111792,MODERATE,pongal_d1_2
2,pongal,Pongal,1,15,0.25,0.0,0.43,0.3726392553857884,MODERATE,pongal_d1_2
2,pongal,Pongal,1,16,0.25,0.0,0.43,0.3839191259660547,MODERATE,pongal_d1_2
2,pongal,Pongal,1,17,0.25,0.0,0.43,0.8284760185217339,MODERATE,pongal_d1_2
2,pongal,Pongal,1,18,0.25,1.0,0.43,0.3535245314100983,HIGH,pongal_d1_2
2,pongal,Pongal,1,19,0.25,1.0,0.43,0.5566684055735251,HIGH,pongal_d1_2
2,pongal,Pongal,1,20,0.25,1.0,0.43,0.23298146279731421,HIGH,pongal_d1_2
2,pongal,Pongal,1,21,0.25,1.0,0.43,0.639212229192163,HIGH,pongal_d1_2
2,pongal,Pongal,1,22,0.25,0.0,0.43,0.4955119767597788,MODERATE,pongal_d1_2
2,pongal,Pongal,1,23,0.25,0.0,0.43,0.4671335005545757,MODERATE,pongal_d1_2
3,pongal,Pongal,1,0,0.25,0.0,0.47,0.5703800415693959,MODERATE,pongal_d1_3
3,pongal,Pongal,1,1,0.25,0.0,0.47,0.8025457915641485,MODERATE,pongal_d1_3
3,pongal,Pongal,1,2,0.25,0.0,0.47,0.7045052735521362,MODERATE,pongal_d1_3
3,pongal,Pongal,1,3,0.25,0.0,0.47,0.5758792312861566,MODERATE,pongal_d1_3
3,pongal,Pongal,1,4,0.25,0.0,0.47,0.6486732590058657,MODERATE,pongal_d1_3
3,pongal,Pongal,1,5,0.25,0.0,0.47,0.5043356754683734,MODERATE,pongal_d1_3
3,pongal,Pongal,1,6,0.25,0.0,0.47,0.867671149264756,MODERATE,pongal_d1_3
