episode_id,tick,vehicle_count,queue_length,average_speed_kmh,q_north,q_south,q_east,q_west,vc_north,vc_south,vc_east,vc_west,remaining_seconds,traffic_mode_surge,phase_ns_green,phase_ew_green,phase_yellow,phase_all_red,label,future_queue
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,LOW,2
0,3,1.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,LOW,2
0,6,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,LOW,2
0,9,1.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,LOW,2
0,12,1.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,LOW,2
0,15,1.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,LOW,2
0,18,1.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,LOW,2
0,21,1.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,LOW,2
0,24,2.0,1.0,41.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,22.0,0.0,1.0,0.0,0.0,0.0,LOW,2
0,27,2.0,1.0,35.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,22.0,0.0,1.0,0.0,0.0,0.0,LOW,2
0,30,2.0,1.0,35.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,22.0,0.0,1.0,0.0,0.0,0.0,LOW,2
0,33,2.0,1.0,35.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,22.0,0.0,1.0,0.0,0.0,0.0,LOW,2
0,36,2.0,1.0,35.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,22.0,0.0,1.0,0.0,0.0,0.0,LOW,2
0,39,2.0,1.0,35.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,22.0,0.0,1.0,0.0,0.0,0.0,LOW,2
0,42,2.0,1.0,35.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,22.0,0.0,1.0,0.0,0.0,0.0,LOW,2
0,45,2.0,1.0,35.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,22.0,0.0,1.0,0.0,0.0,0.0,LOW,2
0,48,3.0,2.0,30.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,22.0,0.0,1.0,0.0,0.0,0.0,LOW,2
0,51,3.0,2.0,25.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,22.0,0.0,1.0,0.0,0.0,0.0,LOW,2
0,54,3.0,2.0,23.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,22.0,0.0,1.0,0.0,0.0,0.0,LOW,2
0,57,3.0,2.0,23.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,22.0,0.0,1.0,0.0,0.0,0.0,LOW,2
